Time,Open,Close,High,Low,Volume
2025-05-08 09:36:00,2.2015,2.2027,2.2029,2.2015,15853.0
2025-05-08 09:37:00,2.2027,2.202,2.2029,2.202,2021.0
2025-05-08 09:38:00,2.2022,2.2018,2.2023,2.2016,15327.0
2025-05-08 09:39:00,2.2016,2.2019,2.2028,2.2016,2446.0
2025-05-08 09:40:00,2.2027,2.2031,2.2032,2.2025,5023.0
2025-05-08 09:41:00,2.2031,2.2063,2.2072,2.2029,386300.0
2025-05-08 09:42:00,2.2061,2.2053,2.2071,2.2052,5063.0
2025-05-08 09:43:00,2.2052,2.2058,2.2059,2.2051,6510.0
2025-05-08 09:44:00,2.2056,2.2064,2.207,2.2056,5234.0
2025-05-08 09:45:00,2.2064,2.2064,2.207,2.2062,2629.0
2025-05-08 09:46:00,2.2062,2.2069,2.2071,2.2062,1803.0
2025-05-08 09:47:00,2.2069,2.2078,2.2091,2.2069,5427.0
2025-05-08 09:48:00,2.208,2.2087,2.2087,2.2064,4182.0
2025-05-08 09:49:00,2.2087,2.2091,2.2091,2.2076,4392.0
2025-05-08 09:50:00,2.2089,2.208,2.2091,2.2079,6920.0
2025-05-08 09:51:00,2.2081,2.2086,2.2088,2.2079,63797.0
2025-05-08 09:52:00,2.2086,2.21,2.2103,2.2086,39234.0
2025-05-08 09:53:00,2.21,2.2091,2.21,2.2091,10888.0
2025-05-08 09:54:00,2.2093,2.2098,2.21,2.2091,7159.0
2025-05-08 09:55:00,2.21,2.2098,2.21,2.2097,62474.0
2025-05-08 09:56:00,2.2098,2.2068,2.21,2.2064,38619.0
2025-05-08 09:57:00,2.2068,2.2063,2.2077,2.2061,13989.0
2025-05-08 09:58:00,2.2065,2.2073,2.2077,2.2063,10887.0
2025-05-08 09:59:00,2.2071,2.2096,2.2097,2.2064,11753.0
2025-05-08 10:00:00,2.2091,2.2089,2.2106,2.2086,66651.0
2025-05-08 10:01:00,2.2089,2.2104,2.2104,2.2082,16951.0
2025-05-08 10:02:00,2.2102,2.2114,2.2137,2.2102,35415.0
2025-05-08 10:03:00,2.2105,2.2116,2.2123,2.2096,7272.0
2025-05-08 10:04:00,2.2117,2.214,2.2157,2.2116,27289.0
2025-05-08 10:05:00,2.214,2.215,2.2159,2.2138,33040.0
2025-05-08 10:06:00,2.215,2.2161,2.2162,2.2148,28660.0
2025-05-08 10:07:00,2.2161,2.2133,2.2166,2.2131,8420.0
2025-05-08 10:08:00,2.2131,2.2121,2.2133,2.2101,360132.0
2025-05-08 10:09:00,2.2128,2.2122,2.2145,2.2121,10389.0
2025-05-08 10:10:00,2.2123,2.2118,2.2132,2.2118,5465.0
2025-05-08 10:11:00,2.2119,2.2101,2.213,2.2099,4654.0
2025-05-08 10:12:00,2.2111,2.2102,2.2111,2.2101,4045.0
2025-05-08 10:13:00,2.2101,2.212,2.2122,2.209,155650.0
2025-05-08 10:14:00,2.2122,2.2108,2.2123,2.2102,8526.0
2025-05-08 10:15:00,2.2117,2.2105,2.2117,2.2103,5519.0
2025-05-08 10:16:00,2.2104,2.212,2.2121,2.2103,79659.0
2025-05-08 10:17:00,2.2119,2.2141,2.2147,2.2118,12505.0
2025-05-08 10:18:00,2.214,2.2145,2.2147,2.214,17565.0
2025-05-08 10:19:00,2.2147,2.2126,2.2147,2.2119,21306.0
2025-05-08 10:20:00,2.2126,2.2111,2.2129,2.2111,6815.0
2025-05-08 10:21:00,2.2113,2.212,2.212,2.2105,8096.0
2025-05-08 10:22:00,2.212,2.211,2.213,2.211,29621.0
2025-05-08 10:23:00,2.211,2.2101,2.2114,2.2101,6731.0
2025-05-08 10:24:00,2.2101,2.2107,2.2107,2.21,22619.0
2025-05-08 10:25:00,2.2105,2.2104,2.2113,2.2098,11927.0
2025-05-08 10:26:00,2.2105,2.2098,2.2106,2.2098,6012.0
2025-05-08 10:27:00,2.2098,2.2081,2.21,2.2072,335180.0
2025-05-08 10:28:00,2.2079,2.2091,2.2103,2.2079,6127.0
2025-05-08 10:29:00,2.2091,2.2102,2.2102,2.2089,2864.0
2025-05-08 10:30:00,2.2102,2.2108,2.2108,2.2093,14191.0
2025-05-08 10:31:00,2.2106,2.209,2.2108,2.2085,3909.0
2025-05-08 10:32:00,2.21,2.2098,2.2106,2.2092,7024.0
2025-05-08 10:33:00,2.2098,2.2092,2.2126,2.2086,46570.0
2025-05-08 10:34:00,2.2091,2.2068,2.2104,2.2062,14860.0
2025-05-08 10:35:00,2.2068,2.2075,2.2085,2.2067,26326.0
2025-05-08 10:36:00,2.2075,2.2065,2.2078,2.2063,22953.0
2025-05-08 10:37:00,2.2065,2.2065,2.2066,2.2058,25252.0
2025-05-08 10:38:00,2.2065,2.2076,2.2077,2.2065,3482.0
2025-05-08 10:39:00,2.2076,2.206,2.2076,2.206,17292.0
2025-05-08 10:40:00,2.206,2.2075,2.2077,2.206,12223.0
2025-05-08 10:41:00,2.2077,2.209,2.2094,2.2075,30535.0
2025-05-08 10:42:00,2.2088,2.2078,2.209,2.2078,8156.0
2025-05-08 10:43:00,2.2078,2.2076,2.208,2.2074,7288.0
2025-05-08 10:44:00,2.2076,2.2075,2.2077,2.2066,44153.0
2025-05-08 10:45:00,2.2075,2.2089,2.2092,2.2075,25353.0
2025-05-08 10:46:00,2.2095,2.2109,2.2117,2.2095,34311.0
2025-05-08 10:47:00,2.2107,2.2113,2.2115,2.2107,2342.0
2025-05-08 10:48:00,2.2113,2.2114,2.2123,2.2109,21142.0
2025-05-08 10:49:00,2.2124,2.2125,2.2134,2.2118,14511.0
2025-05-08 10:50:00,2.2127,2.2126,2.2127,2.2119,8102.0
2025-05-08 10:51:00,2.2126,2.2139,2.2141,2.2124,3566.0
2025-05-08 10:52:00,2.2141,2.2138,2.2145,2.2133,24343.0
2025-05-08 10:53:00,2.2139,2.2132,2.2139,2.2114,23805.0
2025-05-08 10:54:00,2.2132,2.2116,2.2132,2.2116,4560.0
2025-05-08 10:55:00,2.2116,2.2143,2.2153,2.2116,28966.0
2025-05-08 10:56:00,2.2143,2.2145,2.2159,2.2141,67842.0
2025-05-08 10:57:00,2.2143,2.2144,2.2154,2.2143,64807.0
2025-05-08 10:58:00,2.2144,2.2144,2.2156,2.2143,12015.0
2025-05-08 10:59:00,2.2144,2.2142,2.2145,2.2137,4974.0
2025-05-08 11:00:00,2.2142,2.2131,2.2144,2.213,93484.0
2025-05-08 11:01:00,2.2135,2.2107,2.2135,2.2101,111283.0
2025-05-08 11:02:00,2.2109,2.2095,2.2109,2.2094,11912.0
2025-05-08 11:03:00,2.2094,2.2137,2.2137,2.2094,7453.0
2025-05-08 11:04:00,2.2137,2.2135,2.2146,2.213,5741.0
2025-05-08 11:05:00,2.2135,2.2116,2.2135,2.2114,18308.0
2025-05-08 11:06:00,2.2114,2.2097,2.2116,2.2095,48888.0
2025-05-08 11:07:00,2.2099,2.2109,2.2111,2.2097,17115.0
2025-05-08 11:08:00,2.2109,2.2117,2.2118,2.2109,7696.0
2025-05-08 11:09:00,2.2118,2.2109,2.2126,2.2109,2076.0
2025-05-08 11:10:00,2.2111,2.2118,2.2118,2.2109,5616.0
2025-05-08 11:11:00,2.2116,2.2123,2.2132,2.2116,15458.0
2025-05-08 11:12:00,2.2123,2.2117,2.2124,2.2117,1584.0
2025-05-08 11:13:00,2.2119,2.2096,2.2119,2.2096,12435.0
2025-05-08 11:14:00,2.2096,2.2079,2.2098,2.2072,12152.0
2025-05-08 11:15:00,2.2077,2.2079,2.208,2.207,4195.0
2025-05-08 11:16:00,2.208,2.2085,2.2089,2.2079,16394.0
2025-05-08 11:17:00,2.2085,2.2089,2.2092,2.208,9970.0
2025-05-08 11:18:00,2.2089,2.2074,2.2091,2.207,16314.0
2025-05-08 11:19:00,2.2074,2.2062,2.2076,2.2062,21713.0
2025-05-08 11:20:00,2.2063,2.2052,2.2063,2.204,17452.0
2025-05-08 11:21:00,2.2048,2.2048,2.2055,2.2046,30810.0
2025-05-08 11:22:00,2.2048,2.2052,2.2054,2.2044,11425.0
2025-05-08 11:23:00,2.2054,2.2047,2.2054,2.2046,28728.0
2025-05-08 11:24:00,2.2046,2.2054,2.2054,2.2046,26670.0
2025-05-08 11:25:00,2.2052,2.2067,2.2069,2.2052,3941.0
2025-05-08 11:26:00,2.2069,2.2077,2.2078,2.2061,4716.0
2025-05-08 11:27:00,2.2077,2.2067,2.2078,2.2066,2140.0
2025-05-08 11:28:00,2.2067,2.2065,2.2069,2.2058,10689.0
2025-05-08 11:29:00,2.2065,2.2054,2.2067,2.2052,6783.0
2025-05-08 11:30:00,2.2054,2.2054,2.2059,2.2052,5732.0
2025-05-08 11:31:00,2.2054,2.2047,2.206,2.2046,3622.0
2025-05-08 11:32:00,2.2048,2.2046,2.2049,2.2041,10809.0
2025-05-08 11:33:00,2.2046,2.2037,2.2048,2.2031,50927.0
2025-05-08 11:34:00,2.2037,2.203,2.2037,2.2029,8698.0
2025-05-08 11:35:00,2.203,2.2042,2.2043,2.2028,8123.0
2025-05-08 11:36:00,2.2043,2.2061,2.2066,2.2042,30914.0
2025-05-08 11:37:00,2.2061,2.2054,2.2063,2.2052,42014.0
2025-05-08 11:38:00,2.2054,2.2054,2.2055,2.2052,7607.0
2025-05-08 11:39:00,2.2054,2.2054,2.2055,2.2052,8599.0
2025-05-08 11:40:00,2.2054,2.2061,2.2061,2.2053,2551.0
2025-05-08 11:41:00,2.2061,2.2051,2.2061,2.2051,11540.0
2025-05-08 11:42:00,2.2053,2.2052,2.206,2.2051,7270.0
